species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR;Latitude;Belt;Longitude;Loc_nr;years_nr;mean_year;period_orig;N_nests;Exposure
Recurvirostra_avosetta;Charadrii;Other;89;1;0.005;0.015;NO;0.129639172;52.308;North temperate;5.526;134;10;1979;before 2000;500;6500
Tringa_totanus;Scolopaci+;Scolopacidae;101;1;0.007;0.017;NO;0.177110263;52.308;North temperate;5.526;134;10;1979;before 2000;500;7000
Vanellus_vanellus;Charadrii;Charadriidae;109;3;0.013;0.023;NO;0.333451535;52.308;North temperate;5.526;134;10;1979;before 2000;5000;65000
Limosa_limosa;Scolopaci+;Scolopacidae;74;2;0.0255947;0.0355947;YES;0.503441743;52.517;North temperate;4.783;146;4;1985;before 2000;420;5313.6
Charadrius_melodus;Charadrii;Charadriidae;52;2;0.051523298;0.061523298;YES;0.805988845;52.617;North temperate;-109.983;44;2;1996;before 2000;36;446.4
Numenius_arquata;Scolopaci+;Scolopacidae;77;1;0.052596976;0.062596976;YES;0.838981745;53.053;North temperate;-3.633;51;2;1984;before 2000;35;456.3
Vanellus_vanellus;Charadrii;Charadriidae;109;15;0.032118419;0.042118419;YES;0.63651292;53.053;North temperate;-3.633;51;2;1984;before 2000;152;2148.3
Vanellus_gregarius;Charadrii;Charadriidae;105;2;0.04353562;0.05353562;YES;0.712441357;53.173;North temperate;76.047;106;1;2007;after 2000;130;1516
Vanellus_vanellus;Charadrii;Charadriidae;109;10;0.027;0.037;NO;0.571946504;53.184;North temperate;-3.114;43;2;2003;after 2000;241;2410
Actitis_hypoleucos;Scolopaci+;Scolopacidae;1;2;0.006614694;0.016614694;YES;0.155689564;53.403;North temperate;-1.789;5;4;1978;before 2000;88;1058.25
Vanellus_vanellus;Charadrii;Charadriidae;109;12;0.023853469;0.033853469;NO;0.526886362;53.523;North temperate;8.398;130;5;2003;after 2000;245;2705
Gallinago_gallinago;Scolopaci+;Scolopacidae;32;3;0.010869565;0.020869565;YES;0.222264372;53.709;North temperate;27.953;145;2;2000;after 2000;19;184
Calidris_minutilla;Scolopaci+;Scolopacidae;20;2;0.023700306;0.033700306;YES;0.43766427;54.017;North temperate;-132.133;46;5;1986;before 2000;344;3924
Charadrius_semipalmatus;Charadrii;Charadriidae;61;2;0.019569472;0.029569472;YES;0.424995663;54.017;North temperate;-132.133;46;5;1986;before 2000;47;613.2
Scolopax_rusticola;Scolopaci+;Scolopacidae;93;1;0.02;0.03;NO;0.412178061;54.285;North temperate;-2.691;40;44;1967;before 2000;277;1370
Numenius_arquata;Scolopaci+;Scolopacidae;77;3;0.048401037;0.058401037;NO;0.813042088;54.303;North temperate;-7.616;79;2;1994;before 2000;170;1735.5
Vanellus_vanellus;Charadrii;Charadriidae;109;14;0.02977496;0.03977496;NO;0.608215865;54.354;North temperate;9.357;4;4;2000;after 2000;179;1731
Actitis_hypoleucos;Scolopaci+;Scolopacidae;1;1;0.00497977;0.01497977;YES;0.119531702;54.505;North temperate;-3.051;121;14;1944;before 2000;33;401.625
Vanellus_vanellus;Charadrii;Charadriidae;109;1;0.0224388;0.0324388;NO;0.50516247;54.575;North temperate;-2.411;38;3;1986;before 2000;718;9644.1
Gallinago_gallinago;Scolopaci+;Scolopacidae;32;2;0.006324111;0.016324111;YES;0.135770075;54.719;North temperate;20.738;64;5;2001;after 2000;32;316.25
Numenius_arquata;Scolopaci+;Scolopacidae;77;2;0.07000307;0.08000307;NO;0.913964993;54.821;North temperate;-6.058;8;3;1993;before 2000;191;1628.5
Numenius_phaeopus;Scolopaci+;Scolopacidae;79;5;0.034782609;0.044782609;NO;0.641797169;55.2;North temperate;-84.3;20;3;2013;after 2000;30;287.5
Calidris_alpina;Scolopaci+;Scolopacidae;10;2;0.061850444;0.071850444;YES;0.79732418;55.47;North temperate;12.97;131;6;1983;before 2000;203;1972.5
Charadrius_hiaticula;Charadrii;Charadriidae;50;3;0.030482642;0.040482642;NO;0.579702803;55.667;North temperate;-1.833;75;2;1975;before 2000;111;1181
Haematopus_ostralegus;Charadrii;Other;36;3;0.120879121;0.130879121;NO;0.97456774;56.264;North temperate;16.445;124;1;2004;after 2000;25;182
Tringa_totanus;Scolopaci+;Scolopacidae;101;3;0.07366985;0.08366985;NO;0.880394558;56.264;North temperate;16.445;124;1;2004;after 2000;40;366.5
Vanellus_vanellus;Charadrii;Charadriidae;109;11;0.050808314;0.060808314;NO;0.801403454;56.264;North temperate;16.445;124;1;2004;after 2000;74;866
Charadrius_hiaticula;Charadrii;Charadriidae;50;4;0.163616792;0.173616792;NO;0.993280321;56.76;North temperate;-2.418;31;2;1975;before 2000;82;464.5
Vanellus_vanellus;Charadrii;Charadriidae;109;7;0.03437;0.04437;NO;0.661831426;57.009;North temperate;-4.164;32;3;1985;before 2000;247;4324
Tringa_totanus;Scolopaci+;Scolopacidae;101;4;0.008095411;0.018095411;NO;0.201932332;57.126;North temperate;12.237;140;2;1986;before 2000;35;700
Vanellus_vanellus;Charadrii;Charadriidae;109;17;0.0140639;0.0240639;NO;0.355368051;57.126;North temperate;12.237;140;2;1986;before 2000;54;1020
Calidris_alpina;Scolopaci+;Scolopacidae;10;1;0.042454813;0.052454813;NO;0.66194922;57.338;North temperate;-7.385;125;5;1991;before 2000;222;2379
Charadrius_hiaticula;Charadrii;Charadriidae;50;1;0.051154369;0.061154369;NO;0.770133466;57.338;North temperate;-7.385;125;5;1991;before 2000;183;2209
Haematopus_ostralegus;Charadrii;Other;36;2;0.011251758;0.021251758;NO;0.275658877;57.338;North temperate;-7.385;125;2;1996;before 2000;86;1422
Tringa_totanus;Scolopaci+;Scolopacidae;101;2;0.02345679;0.03345679;NO;0.482466886;57.338;North temperate;-7.385;125;3;1986;before 2000;57;810
Vanellus_vanellus;Charadrii;Charadriidae;109;9;0.033057851;0.043057851;NO;0.647292062;57.338;North temperate;-7.385;125;2;1996;before 2000;169;1815
Vanellus_vanellus;Charadrii;Charadriidae;109;4;0.005433727;0.015433727;NO;0.155410733;57.592;North temperate;11.976;99;4;1988;before 2000;132;2259.9
Haematopus_bachmani;Charadrii;Other;35;1;0.017841213;0.027841213;YES;0.401342219;58.508;North temperate;-135.93;13;2;2004;after 2000;86;1008.9
Tringa_nebularia;Scolopaci+;Scolopacidae;99;1;0.02268464;0.03268464;YES;0.477624617;58.533;North temperate;-4.232;102;25;1995;before 2000;51;573.075
Charadrius_semipalmatus;Charadrii;Charadriidae;61;1;0;0.01;YES;0;58.695;North temperate;-94.082;56;4;1965;before 2000;15;243.6
Calidris_alpina;Scolopaci+;Scolopacidae;10;4;0.014894251;0.024894251;YES;0.312818686;58.701;North temperate;-93.802;56;8;1988;before 2000;127;1678.5
Calidris_himantopus;Scolopaci+;Scolopacidae;15;1;0.008573388;0.018573388;YES;0.186694464;58.701;North temperate;-93.802;56;4;1965;before 2000;43;583.2
Calidris_minutilla;Scolopaci+;Scolopacidae;20;1;0.008169935;0.018169935;YES;0.178713935;58.701;North temperate;-93.802;56;4;1965;before 2000;56;734.4
Calidris_pusilla;Scolopaci+;Scolopacidae;22;3;0.047281324;0.057281324;YES;0.679616641;58.701;North temperate;-93.802;56;3;1981;before 2000;213;2220.75
Limnodromus_griseus;Scolopaci+;Scolopacidae;69;1;0.020833333;0.030833333;NO;0.409233971;58.701;North temperate;-93.802;56;3;2013;after 2000;22;240
Limosa_haemastica;Scolopaci+;Scolopacidae;72;1;0.021337127;0.031337127;YES;0.441408842;58.701;North temperate;-93.802;56;7;1989;before 2000;33;421.8
Numenius_phaeopus;Scolopaci+;Scolopacidae;79;2;0.035790981;0.045790981;YES;0.652492247;58.701;North temperate;-93.802;56;10;1990;before 2000;218;2654.3
Pluvialis_dominica;Charadrii;Charadriidae;84;3;0.010568032;0.020568032;NO;0.290101094;58.701;North temperate;-93.802;56;3;2013;after 2000;29;378.5
Numenius_arquata;Scolopaci+;Scolopacidae;77;6;0.024955437;0.034955437;NO;0.574375206;59.817;North temperate;16.55;143;3;1988;before 2000;113;1683
Vanellus_vanellus;Charadrii;Charadriidae;109;5;0.00488;0.01488;NO;0.140711303;59.95;North temperate;16.283;142;3;1989;before 2000;852;12746
